,id,address,latitude,longitude,dictionnary_gas,beeline,gas_price,cost_filling,api_request,real_distance_km,real_time_minute,cost_filling_and_trip,adjusted_cost_filling_and_trip
3,40280006,"200 boulevard oscar niemeyer, 40280, Saint-Pierre-du-Mont",43.882980999999994,-0.51997589,"{'Gazole': '1.408', 'SP95': '1.549', 'E10': '1.492'}",1.6158558808402934,1.408,84.47999999999999,"(3.029, 7.13)",3.029,7.13,84.96,92.08999999999999
9,40000011,"384 avenue des Martyrs de la Résistance, 40000, MONT-DE-MARSAN",43.88716288,-0.51341153,"{'Gazole': '1.449', 'E10': '1.509', 'SP98': '1.629'}",1.4536581957827026,1.449,86.94,"(2.526, 5.8)",2.526,5.8,87.34,93.14
1,40000012,"394 AVENUE GEORGES CLEMENCEAU, 40000, Mont-de-Marsan",43.88554,-0.49499,"{'Gazole': '1.408', 'E85': '0.709', 'GPLc': '0.799', 'E10': '1.492', 'SP98': '1.611'}",2.74835932904921,1.408,84.47999999999999,"(4.101, 10.15)",4.101,10.15,85.14,95.29
0,40000007,"410 Avenue du Président John F. Kennedy, 40000, Mont-de-Marsan",43.884,-0.498,"{'Gazole': '1.406', 'SP95': '1.549', 'E10': '1.483'}",2.6270522670049687,1.406,84.36,"(4.038, 10.43)",4.038,10.43,85.01,95.44
8,40280005,"600 AVENUE DE SAINT SEVER, 40280, Saint-Pierre-du-Mont",43.876,-0.507,"{'Gazole': '1.429', 'SP95': '1.569', 'E85': '0.689', 'E10': '1.499'}",2.759402437164928,1.429,85.74000000000001,"(4.43, 10.38)",4.43,10.38,86.45,96.83
4,40000002,"760 Avenue du Maréchal Juin, 40000, MONT-DE-MARSAN",43.902,-0.481,"{'Gazole': '1.410', 'E10': '1.486', 'SP98': '1.607'}",3.6004790960551354,1.41,84.6,"(6.195, 12.25)",6.195,12.25,85.59,97.84
2,40006001,"1234 Avenue du Vignau, 40000, Mont-de-Marsan",43.87771,-0.46152,"{'Gazole': '1.408', 'SP95': '1.549', 'GPLc': '0.789', 'E10': '1.492', 'SP98': '1.611'}",5.549059065920011,1.408,84.47999999999999,"(10.973, 12.42)",10.973,12.42,86.24,98.66
12,40280001,"745 Avenue de Saint-Sever, 40280, SAINT-PIERRE-DU-MONT",43.87,-0.51,"{'Gazole': '1.492', 'GPLc': '0.770', 'E10': '1.552', 'SP98': '1.662'}",3.2436381489180057,1.492,89.52,"(6.816, 8.13)",6.816,8.13,90.61,98.74
15,40280004,"302 AVENUE DU CORPS FRANC POMMIES, 40280, Saint-Pierre-du-Mont",43.88616,-0.52008,"{'Gazole': '1.579', 'SP95': '1.699', 'SP98': '1.719'}",1.2760848652740873,1.579,94.74,"(2.534, 5.78)",2.534,5.78,95.15,100.93
11,40000001,"19 Boulevard Yves Mainguy, 40000, MONT-DE-MARSAN",43.883,-0.482,"{'Gazole': '1.459', 'SP95': '1.599', 'SP98': '1.639'}",3.8089235009570728,1.459,87.54,"(5.482, 13.68)",5.482,13.68,88.42,102.1
7,40500002,"Route de Mont de Marsan, 40500, Saint-Sever",43.773,-0.567,"{'Gazole': '1.429', 'SP95': '1.549', 'GPLc': '0.799', 'E10': '1.519'}",14.183948159696923,1.429,85.74000000000001,"(18.204, 17.48)",18.204,17.48,88.65,106.13000000000001
10,40270004,"2 Avenue de Mont de Marsan, 40270, Grenade-sur-l'Adour",43.773997300000005,-0.43242917000000003,"{'Gazole': '1.452', 'SP95': '1.574', 'SP98': '1.591'}",15.57568308565077,1.452,87.12,"(19.543, 18.87)",19.543,18.87,90.25,109.12
6,40500001,"Route de Pau, 40500, SAINT-SEVER",43.74856243,-0.56403872,"{'Gazole': '1.429', 'SP95': '1.549', 'SP98': '1.589'}",16.791795320330216,1.429,85.74000000000001,"(21.407, 19.97)",21.407,19.97,89.17,109.14
13,40270001,"42 Avenue de Mont-de-Marsan, 40270, GRENADE-SUR-L'ADOUR",43.7789832174,-0.436417393287,"{'Gazole': '1.499', 'SP95': '1.619'}",14.935658627413439,1.499,89.94000000000001,"(18.902, 17.87)",18.902,17.87,92.96,110.83
5,40190003,"AVENUE JEAN JAURES, 40190, VILLENEUVE-DE-MARSAN",43.885,-0.307,"{'Gazole': '1.419', 'SP95': '1.559', 'SP98': '1.609'}",17.55130569673482,1.419,85.14,"(25.432, 26.05)",25.432,26.05,89.21,115.25999999999999
14,40110003,"RD38 ZAC DE SEGUES, 40110, Ygos-Saint-Saturnin",43.9758583,-0.7372015,"{'Gazole': '1.522', 'SP98': '1.674'}",19.093790514672172,1.522,91.32000000000001,"(20.753, 20.62)",20.753,20.62,94.64,115.26
